Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: wormhole
Architecture: wormhole, Worker cores: 72
Sorting CSV by 'HOST START TS' column...
Using operations after 'L3_mlp'.
Using operations until 'lm_head'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                       Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs       FLOPs %  Math Fidelity            
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 22438    0.5 %         BinaryNgDeviceOperation                            19        68 μs    130,136 μs     72                                                FP32, FP32 => FP32
 22451    0.1 %         FillPadDeviceOperation                             28       275 μs     14,267 μs      8                                                      FP32 => FP32
 22479    0.4 %         PermuteDeviceOperation                              3       208 μs     98,915 μs     72                                                      FP32 => FP32
 22515    0.4 %         ReduceDeviceOperation                              28       116 μs    123,229 μs     72                                                      FP32 => FP32
 22546    0.1 %         PermuteDeviceOperation                              0        70 μs     16,601 μs     72                                                      FP32 => FP32
 22595    0.4 %         TypecastDeviceOperation                            16         8 μs    118,406 μs     72                                                      FP32 => BF16
 22606    0.4 %   SLOW  MatmulDeviceOperation 32 x 5120 x 192              27        54 μs     98,103 μs      6   24 GB/s   8.5 %  1.2 TFLOPs    9.4 %  HiFi2 BF16 x BFP8 => BF16
 22661    0.0 %         UnaryDeviceOperation                               18         3 μs      3,917 μs     72                                                      BF16 => BF16
 22670    0.0 %   SLOW  MatmulDeviceOperation 32 x 5120 x 192              27        54 μs      1,666 μs      6   25 GB/s   8.5 %  1.2 TFLOPs    9.5 %  HiFi2 BF16 x BFP8 => BF16
 22710    0.0 %         BinaryNgDeviceOperation                            31         3 μs      3,269 μs     72                                                BF16, BF16 => BF16
 22741    0.4 %   SLOW  MatmulDeviceOperation 32 x 192 x 5120              30        12 μs    115,838 μs     54  107 GB/s  37.2 %  5.1 TFLOPs    4.6 %  HiFi2 BF16 x BFP8 => BF16
 22778    0.0 %         ReduceScatterDeviceOperation                        0        95 μs      4,270 μs     20                                                      BF16 => BF16
 22810    0.0 %         AllGatherDeviceOperation                            0        75 μs        505 μs     20                                                      BF16 => BF16
 22839    0.0 %         BinaryNgDeviceOperation                             7         9 μs        212 μs     72                                                BF16, BF16 => BF16
 22869    0.0 %         BinaryNgDeviceOperation                            30         9 μs      1,545 μs     72                                                BF16, BF16 => BF16
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        100.0 %         173 device ops, 0 host ops, 0 signposts                  67,381 μs  27,872,246 μs                                                                         

💡 Advice 💡
============

High Op-to-Op Gap
----------------
 17416    0.0 %         LayerNormDeviceOperation                           10       192 μs      2,483 μs     16                                                BF16, BF16 => BF16
 17437    0.0 %         ReshapeViewDeviceOperation                         22        53 μs      4,664 μs     72                                                      BF16 => BF16
 17471    5.7 %         TypecastDeviceOperation                            15         8 μs  1,578,804 μs     72                                                      BF16 => FP32
 17497    0.2 %   SLOW  MatmulDeviceOperation 32 x 5120 x 160               5        74 μs     68,843 μs      5   20 GB/s   7.0 %  0.7 TFLOPs    6.9 %  HiFi2 FP32 x BFP8 => FP32
